                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4364,                 3.9137,                 2.2121,                0.00076,                0.17004,                0.00475,                0.00123,                 3.5101,                 3.7876,                 2.1185,               0.070291,               0.003301,               0.003301
                      2,                 3.1287,                 3.4667,                 1.9945,                0.78864,                0.01697,                0.01081,                0.00271,                 3.0653,                 9.2375,                  1.997,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8702,                 3.2148,                 1.7718,                0.53074,                0.05418,                0.01713,                0.00509,                 2.9078,                 4.6737,                 1.7487,               0.010225,              0.0099019,              0.0099019
                      4,                 2.6278,                 2.9416,                 1.5623,                0.56088,                0.07054,                 0.0377,                0.01264,                 2.6858,                 3.9557,                 1.5737,               0.009901,               0.009901,               0.009901
                      5,                 2.3719,                 2.6614,                 1.3768,                0.67009,                0.11335,                0.11858,                 0.0504,                 2.4605,                 2.7924,                 1.4052,               0.009901,               0.009901,               0.009901
                      6,                 2.2001,                 2.4196,                 1.2552,                 0.5312,                0.16654,                0.16679,                0.07708,                  2.318,                 2.5816,                 1.3177,               0.009868,               0.009868,               0.009868
                      7,                 2.1358,                 2.2957,                 1.2013,                0.43539,                0.23672,                0.23291,                0.10623,                 2.1747,                 2.4456,                 1.2384,               0.009835,               0.009835,               0.009835
                      8,                 2.0196,                 2.1468,                 1.1408,                0.42648,                0.26284,                 0.2571,                 0.1211,                 2.0733,                 2.1628,                 1.1818,               0.009802,               0.009802,               0.009802
                      9,                 1.9571,                 2.0531,                 1.0951,                0.41025,                0.33328,                0.30917,                0.15197,                  2.028,                 2.2468,                 1.1309,               0.009769,               0.009769,               0.009769
                     10,                 1.9006,                 1.9288,                 1.0618,                0.47526,                0.30784,                0.31062,                0.15579,                 1.9816,                 1.8882,                  1.107,               0.009736,               0.009736,               0.009736
                     11,                 1.8455,                 1.8476,                 1.0319,                0.45987,                0.33647,                0.32817,                0.16512,                 1.9238,                 1.8355,                 1.0707,               0.009703,               0.009703,               0.009703
                     12,                 1.8119,                 1.7808,                 1.0107,                0.53341,                0.38348,                0.38779,                 0.1974,                 1.8145,                 1.7307,                 1.0276,                0.00967,                0.00967,                0.00967
                     13,                 1.7723,                 1.7279,                0.99143,                0.52381,                0.38567,                0.39054,                0.20574,                  1.787,                 1.6463,                 1.0109,               0.009637,               0.009637,               0.009637
                     14,                 1.7216,                 1.6526,                0.96536,                0.53921,                  0.402,                0.40673,                0.21126,                 1.7984,                 1.6298,                 1.0099,               0.009604,               0.009604,               0.009604
                     15,                 1.7014,                 1.6077,                0.95319,                0.52901,                0.43807,                0.43712,                0.22478,                  1.776,                 1.6788,                0.99527,               0.009571,               0.009571,               0.009571
                     16,                 1.6768,                 1.5668,                0.93527,                 0.5435,                 0.4651,                0.46627,                0.24723,                 1.7325,                 1.5206,                0.97463,               0.009538,               0.009538,               0.009538
                     17,                 1.6392,                 1.5165,                0.92049,                0.59989,                0.46824,                0.47335,                0.26076,                 1.6651,                 1.4515,                0.95509,               0.009505,               0.009505,               0.009505
                     18,                 1.6172,                 1.4878,                0.90498,                 0.6295,                0.49467,                0.52182,                0.28751,                 1.6157,                 1.3535,                0.92915,               0.009472,               0.009472,               0.009472
                     19,                 1.5996,                 1.4546,                0.89742,                0.67601,                0.48328,                0.52538,                0.28497,                 1.6104,                 1.3735,                0.91876,               0.009439,               0.009439,               0.009439
                     20,                 1.5935,                 1.4305,                0.89348,                0.65252,                0.48906,                0.51953,                0.27959,                 1.5865,                 1.3261,                  0.905,               0.009406,               0.009406,               0.009406
                     21,                 1.5703,                  1.408,                0.88484,                0.59806,                0.53483,                 0.5389,                 0.2926,                  1.576,                 1.3084,                0.90228,               0.009373,               0.009373,               0.009373
                     22,                 1.5506,                 1.3858,                0.87932,                0.63188,                 0.5306,                0.55451,                0.29829,                 1.5869,                 1.3034,                0.90383,                0.00934,                0.00934,                0.00934
                     23,                 1.5425,                 1.3633,                0.87089,                0.70671,                0.55217,                0.59371,                0.32859,                 1.4977,                 1.2055,                0.86637,               0.009307,               0.009307,               0.009307
                     24,                 1.5286,                 1.3421,                0.85826,                0.71273,                0.55544,                0.60007,                0.33699,                 1.4853,                 1.1819,                0.85931,               0.009274,               0.009274,               0.009274
                     25,                 1.5008,                 1.2996,                0.84715,                0.72584,                0.54268,                0.60601,                0.34118,                 1.4727,                  1.168,                0.85261,               0.009241,               0.009241,               0.009241
                     26,                 1.4865,                 1.2817,                0.84076,                0.70492,                0.56848,                0.61568,                0.35106,                  1.459,                 1.1481,                0.84877,               0.009208,               0.009208,               0.009208
                     27,                 1.4777,                 1.2674,                0.83803,                 0.7028,                0.56917,                0.61072,                0.34258,                 1.4749,                 1.1685,                0.85591,               0.009175,               0.009175,               0.009175
                     28,                 1.4659,                 1.2402,                0.83345,                 0.7361,                0.57316,                 0.6294,                0.35297,                 1.4398,                 1.1116,                0.84209,               0.009142,               0.009142,               0.009142
                     29,                 1.4627,                 1.2213,                0.82738,                0.75377,                0.59784,                0.65014,                0.36694,                 1.4434,                  1.089,                0.83618,               0.009109,               0.009109,               0.009109
                     30,                 1.4496,                 1.2102,                0.82121,                0.76085,                0.60429,                0.65622,                0.36825,                  1.428,                 1.0824,                 0.8246,               0.009076,               0.009076,               0.009076
                     31,                 1.4386,                 1.2083,                0.82041,                0.73864,                0.62242,                0.66297,                0.38267,                 1.3877,                 1.0381,                 0.8141,               0.009043,               0.009043,               0.009043
                     32,                 1.4268,                 1.1884,                0.81443,                0.78259,                0.60434,                0.67231,                0.38834,                 1.3946,                 1.0382,                0.81305,                0.00901,                0.00901,                0.00901
                     33,                 1.4306,                 1.1789,                0.81282,                 0.7574,                0.63028,                0.67319,                0.38109,                 1.3765,                 1.0314,                0.81267,               0.008977,               0.008977,               0.008977
                     34,                 1.4109,                  1.171,                 0.8103,                0.77398,                0.63442,                0.68612,                0.40155,                 1.3567,                 1.0009,                0.79201,               0.008944,               0.008944,               0.008944
                     35,                 1.3991,                 1.1316,                0.79619,                 0.8027,                0.63748,                0.69356,                0.40483,                  1.364,                0.98906,                0.80802,               0.008911,               0.008911,               0.008911
                     36,                 1.3988,                 1.1331,                0.79823,                0.81896,                0.62605,                0.69085,                 0.4034,                 1.3456,                0.98537,                0.79427,               0.008878,               0.008878,               0.008878
                     37,                 1.3801,                  1.108,                0.78627,                0.76338,                0.65351,                0.70263,                0.41417,                 1.3099,                0.95806,                0.77838,               0.008845,               0.008845,               0.008845
                     38,                  1.378,                   1.11,                0.79179,                0.81401,                0.65694,                0.71069,                0.42313,                 1.3243,                0.94946,                0.78414,               0.008812,               0.008812,               0.008812
                     39,                 1.3693,                 1.1087,                0.78712,                0.80419,                0.65098,                0.70495,                0.41815,                 1.3096,                0.95475,                0.77776,               0.008779,               0.008779,               0.008779
                     40,                 1.3524,                 1.0843,                0.77851,                0.83858,                0.63818,                0.71529,                0.42918,                 1.3067,                 0.9277,                  0.772,               0.008746,               0.008746,               0.008746
                     41,                  1.351,                 1.0811,                0.78122,                0.81109,                0.65132,                0.72027,                0.42185,                 1.3034,                0.93295,                0.77478,               0.008713,               0.008713,               0.008713
                     42,                 1.3505,                 1.0666,                0.77733,                0.80292,                0.65732,                0.72503,                0.43476,                 1.2812,                0.93008,                0.76223,                0.00868,                0.00868,                0.00868
                     43,                 1.3393,                 1.0648,                0.77313,                0.80374,                 0.6661,                0.72672,                0.43368,                 1.3045,                0.89928,                0.77641,               0.008647,               0.008647,               0.008647
                     44,                 1.3313,                 1.0549,                0.77076,                0.86999,                0.65094,                0.74283,                0.44604,                 1.2866,                0.89628,                0.75702,               0.008614,               0.008614,               0.008614
                     45,                 1.3164,                 1.0303,                0.75592,                0.81698,                0.68139,                0.73157,                0.43716,                 1.2853,                0.89298,                0.75988,               0.008581,               0.008581,               0.008581
                     46,                 1.3153,                 1.0373,                0.76611,                 0.8311,                0.68569,                 0.7502,                0.44959,                 1.2636,                0.87562,                0.75142,               0.008548,               0.008548,               0.008548
                     47,                 1.3092,                 1.0302,                0.76054,                0.84868,                0.68618,                0.75569,                0.45649,                 1.2566,                0.86514,                0.74728,               0.008515,               0.008515,               0.008515
                     48,                  1.307,                 1.0193,                0.76121,                0.85036,                0.69552,                 0.7584,                0.46166,                 1.2466,                0.83823,                0.74231,               0.008482,               0.008482,               0.008482
                     49,                  1.295,                 1.0014,                0.75011,                0.82739,                0.69678,                0.75598,                0.46518,                 1.2319,                0.84937,                0.74183,               0.008449,               0.008449,               0.008449
